会社名,ステータス,キャッチコピー
益三建設株式会社 | ＜設立50年！地域に愛された会社＞＊UIターン歓迎＊住宅手当あり,正社員,企画型注文住宅の【ホームアドバイザー】★業界・職種未経験歓迎 正社員
大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,正社員,基本17時退社★平均月給42.9万円【法人営業】※社会人経験者限定 正社員
新日本住設EAST株式会社 | 【7年連続140％売上伸長の安定基盤】★年収1000万円以上も可能！,正社員,仙台限定募集★【営業スタッフ】★月収80万円も可能！未経験歓迎 正社員
株式会社エフティグループ | ★東証JASDAQ上場総合商社・安定性抜群★年休120日★WEB面接1回,正社員,【ソリューション営業】★年功序列なし！月給50万円スタート可！ 正社員
新日本住設EAST株式会社 | 【7年連続140％売上伸長の安定基盤】★年収1000万円以上も可能！,正社員,未経験歓迎！【営業スタッフ】★月収80万円も可能！★全国募集 正社員
株式会社三和交通統轄本部 | 有給消化98％/サービス残業0/賞与年2回/予約年200万件,正社員,【フードデリバリードライバー】未経験歓迎★給与保障有(規定有) 正社員
UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,正社員,【自動車製造スタッフ】転籍実績も多数！★月収42万円以上も可！ 正社員
株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,正社員,《希望の勤務地》《高収入》《望む働き方》を実現！【施工管理】 正社員
株式会社テクトン | WEB面接可／20代・30代活躍中／年間休日125日／土日祝休み,正社員,IT×人材ビジネスの専門スキルを磨く！【人材コーディネーター】 正社員
株式会社吉安建設 | ＜大正5年創業＞熊本・菊池の総合建設会社／転勤なしで働ける,正社員,【施工管理(土木/建築)】★昇給年2回 ★賞与年3回 ★月給28万円~ 正社員
株式会社LEVELY | ★未経験歓迎(研修充実)／完全週休2日／女性活躍中／複数名採用,正社員,★未経験歓迎【エステティシャン】＼オープニングスタッフ募集／ 正社員
メットライフ生命保険株式会社 | 大阪アーバンエイジェンシーオフィス｜幅広い年齢層が活躍中！,正社員,【コンサルティング営業】豊かな人生を手に入れるため、働く。 正社員
HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・スキル不問,FCオーナー,全員面接★高収入も目指せる◎手に職が付く仕事【FCオーナー】 FCオーナー
ハウスリンクホーム株式会社 | ■年休130日 ■残業月10h程＆残業代100％支給 ■社宅4.5万円補助,正社員,20～30代の未経験者が活躍中【不動産の仕入れ】■月給27.8万円～ 正社員
株式会社エアコン名人 | 　【IT×設備で成長中！】立ち上げメンバー/アプリで業務効率化,正社員,95%未経験！それでも月給40万。手に職の【サービススタッフ】 正社員
BSCモーゲージバンク株式会社 | ★業界No.1・東証一部上場ARUHIのFC企業として圧倒的シェア！,正社員,圧倒的ブランド力×高歩合！ 未経験から始められる【提案営業】 正社員
株式会社神美 | 女性専門のセルライトケア『THE PERFECT LINE』を全国に展開！,正社員,【エステティシャン】*女性活躍中*完全週休2日*年休120日 正社員
株式会社ムーブリフォーム | オープニングStaff募集◆未経験でも月15万円以上の歩合獲得可能,正社員,成約率30％以上！お客様に喜ばれて稼ぐ【営業職】完全週休2日制 正社員
株式会社T-TOP | コロナ禍でも業績好調｜オープニング募集｜平均月収40万円,正社員,月給28万円スタートも可能★【営業スタッフ】※埼玉限定募集※ 正社員
株式会社PEO | 東証一部上場アウトソーシンググループ◆賞与年2回◆退職金制度,正社員,今だけ特典総額140万円！【製造スタッフ】★土日休み★豊田募集 正社員
株式会社WILL | 「MOODYZ(ムーディーズ)」「S1(エスワン)」などを手がける企業！,正社員,アダルト作品をプロデュース！【プロデューサー】★未経験大歓迎 正社員
株式会社御剣商事 | ★★関西 積極採用中★★嬉しい福利厚生：理美容補助金など,正社員,＼20代の若手活躍中／【キャリアアドバイザー】※残業ほぼなし 正社員
株式会社ウイルテック | 〈自動車関連の製造スタッフ募集〉★毎週土日休み/残業も少なめ,正社員,★完休2日★年休121日！1年目から月収40万円超が可能【製造】 正社員
住友不動産販売株式会社 | 【東証一部上場住友不動産グループ】,正社員,【不動産売買仲介営業】◇営業職の半数以上が年収800万円超 正社員
株式会社アサンテ | <東証一部上場>★創業50年&国内売上No.1の安定基盤★未経験OK,正社員,年齢&経験不問！【営業】★手取月50万～も可能★賞与4ヵ月分 正社員
株式会社エージェントゲート | 化粧品メーカー等と取引/産育休取得＆復帰100％/残業基本なし,正社員,シフト制・夜勤の働き方を変えよう*年休130日【ITヘルプデスク】 正社員
株式会社エージェントゲート | 大手プライム多数/前職以上の給与最大限保証/リモート勤務有,正社員,常時1600件！技術を極めるも上流も、希望実現【SE・PG】 正社員
株式会社センス | ★未経験からでも年収1000万円超の先輩が活躍中★100％面接保証,正社員,【営業系総合職】週休3日／月末5連休などユニークな働き方も◎ 正社員
株式会社グッドライフ | ◇社員の多くが入社3～5年目に年収600～800万円を超えを実現◇,正社員,【インサイドセールス】未経験者歓迎！入社3ヵ月で即昇格も可能 正社員
株式会社エージェントゲート | 直近も増益の安定基盤/残業基本なし/リモート勤務も実施中です,正社員,年休130日！IT未経験OK！安定の手に職をプラス【IT事務】 正社員
株式会社ビルドイット | 設計からの請負い案件100％で高収入可 ★残業全社平均月10h以下,正社員,★前給保証★前職年収2割増しを保証【ITエンジニア】年休128日 正社員
株式会社貴順 | ★未経験歓迎★週・日払い可★男女活躍中★契約祝金最大10万円！,業務委託,【軽ドライバー】都会で稼ぐ！月収50万円も可能★支度金＆寮制度 業務委託
クルーガーグループ株式会社 | 1ヶ月半の研修で未経験も安心◆全国募集で転勤なし◆福利厚生◎,正社員,未経験から始める【ルートセールス】☆45歳以下限定 ☆面接保証 正社員
ME不動産東葛株式会社 | 9割が未経験入社★拠点拡大に伴い、未経験から役員を目指せる！,正社員,【不動産営業】完全週休2日制★賞与あり★飛び込みテレアポなし 正社員
株式会社エネクスコンサルティング | 【ENEX Holding Co.】土日祝休みの完全週休2日制★年休120日以上,正社員,”自己成長”のための転職を―。【 法人営業 】*未経験者も歓迎 正社員
有限会社ダイイチ機設工業 | 未経験でも、学歴に自信がなくても高収入を目指せます！,正社員,未経験歓迎【 技術スタッフ 】年2回のボーナスで平均180万円支給 正社員
株式会社ネクステージ | ◎東証・名証一部上場 ◎土日祝休も可 ◎平均年収740万円,正社員,店舗型営業【カーアドバイザー】★地域限定職採用 ★転勤ナシ 正社員
プレミアムウォーター株式会社 | ★年間休日180日以上＆残業月15時間以内 ★月収30万超も可能,正社員,上場企業グループで働く【製造スタッフ】★未経験歓迎 ★残業少 正社員
株式会社ワイズ高橋 | 業界でも珍しい、弊社ならではの買取職にご注目！退職金制度あり,正社員,高級輸入車店の【総合職(販売・買取)】★未経験歓迎 正社員
株式会社ゴールドファステート | 【20代の若手が多数活躍中！】※大阪府緊急雇用対策に賛同,正社員,"未経験スタート9割【営業】★残業10h ★平均年収1,000万円以上 正社員"
株式会社いーふらん | 買取専門店「おたからや」を全国1300店舗(出店待機含)展開！,正社員,【買取営業】入社初月収50万円超続出！／完全反響営業／経験不問 正社員
東京エムケイ株式会社 | 月収実績:タクシー81.3万円/ハイヤー119.8万円★有給取得80％超,正社員,最高級サービスを届ける【コンシェルジュドライバー】※学歴不問 正社員
テレック株式会社 | 土日祝休みOK／産・育休完備／入社2年目で月給34万円も可能,正社員,【受付】完全週休3日・年休156日・原則定時退社・月給23万円以上 正社員
アップライブステージ株式会社 | テレワークの普及に伴い売上も2倍◎実績給で最高70万円支給有,正社員,【ライブ配信コーディネーター】★タレント発掘＆育成★高卒以上 正社員
株式会社あひるコンサルティング | ★目標は自分で決めるもの。自分を律して「ガッツリ」稼ぐ！！★,正社員,しっかり稼ぐ！【コンサルティング営業】★未経験でも固定給保証 正社員
株式会社ユタカホーム | ★残業1日1H以下 ★転勤ナシ ★定着率97％ ★完全週休2日制,正社員,未経験でも月給37万円以上！【施工管理】★引っ越し手当など充実 正社員
株式会社京栄コンサルティング | 法人営業（年収例:720万円/25歳/中途入社4年目）,正社員,【法人営業】◆人材×Web集客◆ベンチャー企業◆月給25万円以上 正社員
株式会社ワークナビ | [創業以来売り上げ増加中]■2021年ベストベンチャー100に選出！,正社員,"『楽しく稼げる会社』""NO.１""を目指す！【法人ルート営業】 正社員"
エーアイアールグループ合同募集 | ★中途採用者活躍中★20～30代男性活躍中★残業少なめ★研修充実,正社員,【ルームアドバイザー】★1年目で月収85万円以上可★11月入社可 正社員
株式会社ホットスタッフ博多 | 北九州、行橋、小倉、飯塚、新宮、久留米に拠点を展開！,正社員,人材派遣会社の【 営業職 】★経験ゼロでOK！まずはご応募下さい 正社員
実用春日ホーム株式会社 | <「文京区に特化、13店舗展開」が強み！>★平均残業30時間以内★,正社員,店長の平均月給51万円！【不動産営業】★店長候補★賞与年3回！ 正社員
株式会社リライズ | 研修制度・資格取得支援！未経験でも成果が出せる仕組み！,正社員,◎未経験から高額インセン/業界成約率の4～5倍！【不動産営業】 正社員
アプライド マテリアルズ ジャパン株式会社 | 「初任給が高い」未上場企業ランキング第2位,正社員,【保守修理スタッフ】学歴不問◆年間休日123日◆北陸エリア募集 正社員
株式会社エムズクリエイティブシステム | 《前給保証》《社長も元エンジニア》《昨対比130％増で成長中》,正社員,定着率98％！“ずっとここで――”と思える会社【ITエンジニア】 正社員
アプライド マテリアルズ ジャパン株式会社 | 「初任給が高い」未上場企業ランキング第2位,正社員,【保守修理スタッフ】学歴不問◆年間休日123日◆広島県募集 正社員
アプライド マテリアルズ ジャパン株式会社 | 「初任給が高い」未上場企業ランキング第2位,正社員,【保守修理スタッフ】学歴不問◆年間休日123日◆九州エリア募集 正社員
アプライド マテリアルズ ジャパン株式会社 | 「初任給が高い」未上場企業ランキング第2位,正社員,【保守修理スタッフ】学歴不問◆年間休日123日◆三重県募集 正社員
アプライド マテリアルズ ジャパン株式会社 | 「初任給が高い」未上場企業ランキング第2位,正社員,【保守修理スタッフ】学歴不問◆年間休日123日◆京都府募集 正社員
アプライド マテリアルズ ジャパン株式会社 | 「初任給が高い」未上場企業ランキング第2位,正社員,【保守修理スタッフ】学歴不問◆年間休日123日◆関東エリア募集 正社員
アプライド マテリアルズ ジャパン株式会社 | 「初任給が高い」未上場企業ランキング第2位,正社員,【保守修理スタッフ】学歴不問◆年間休日123日◆東北エリア募集 正社員
日野自動車株式会社 | 東証一部上場・TOYOTAグループ・家具付き無料寮完備(光熱費無料),契約社員,【製造スタッフ】★入社祝金・３ヵ月毎の慰労金有★＜全国募集＞ 契約社員
株式会社グランドジャパン | 20代歓迎/住宅手当3万/8日間の連続休暇可/福利厚生充実,正社員,"将来の幹部候補【不動産営業】未経験大歓迎/初年度年収1,500万可 正社員"
株式会社GoodWorkJapan | ★全国募集 ★収入UPを実現した先輩多数 ★残業少なめ,正社員,【施工現場の管理スタッフ】★面接1回★年間休日120日以上 正社員
株式会社ジーアフター | 輸入車・国産車の買取、販売◇売上前年比130%成長で不況知らず！,正社員,車販売の【営業・店舗運営】未経験者も月給30万以上でスタート！ 正社員
株式会社ウイルテック | <未経験歓迎！>月収45万円以上も可能な好待遇／世界各国が勤務先,正社員,大手メーカー内で活躍！半導体製造装置の【据付・調整スタッフ】 正社員
株式会社テクトン | 「未経験で心配・・・」そんなあなたを応援する会社,正社員,★接客・販売職からの未経験入社多数★Excel研修あり【事務職】 正社員
新日本ハウス株式会社 | 転勤ナシ＝好きな街で働けます！吉幾三さんのCMでおなじみの会社,正社員,40～50代も活躍中★お客様に喜びを与えられる【リフォーム営業】 正社員
中部自動車販売株式会社 | ★創業以来黒字・無借金経営 ★10月本社を新自社ビルに移転！,正社員,【カーライフアドバイザー】年収1000万円以上可能★完全反響 正社員
株式会社ホンダカーズ中央佐賀 | 《 佐賀からの転勤なし 》借上社宅/積立有給休暇/社割など充実☆,正社員,《 完全人柄採用 》安定した生活水準を送ろう！【 営業 】 正社員
株式会社あひるコンサルティング | 業界未経験者も活躍できる、残業も少なめで働きやすい環境です,正社員,"人気住宅ローン""フラット35""の【 ルート営業 】高収入も目指せる 正社員"
株式会社要 | ＜ゲームやアプリ開発、インフラ構築など案件豊富＞※経験者歓迎,正社員,【ITエンジニア(開発/インフラ)】★残業平均7H以下★有給即付与 正社員
株式会社優誠 | 【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,正社員,【営業スタッフ】未経験OK／月収100万円超も可能／基本土日休み 正社員
株式会社ハマエンジニアリング | 【TV＆WEBCM絶賛放映中】賞与年3回★20代で年収450万円超えも可,正社員,＼大分・長崎限定採用／ 【半導体メンテスタッフ】※交代勤務 正社員
株式会社トップ | 《トップHDグループ》33歳*月給例:月給29.1万円＋インセン＋賞与,正社員,3人に1人は年収1000万円！【 提案営業 】*全国募集*経験者募集 正社員
株式会社PENTAGON | 月給27万円～/入社1年目平均年収は480万円/頑張りは正当に評価◎,正社員,仙台限定募集＆転勤なし【ダイレクトセールス】★面接保証★ 正社員
株式会社PENTAGON | 頑張りは正当に評価◎/1回のインセンティブで100万円稼ぐ人も！,正社員,★大阪・滋賀・高松・姫路募集★【ダイレクトセールス】転勤なし 正社員
株式会社TERASS | 定着率94.9%/仲介手数料の75％が年収/副業OK/面接1回,業務委託,フルリモート【不動産売買仲介エージェント】※業界経験者募集 業務委託
東京エムケイ株式会社 | ハイヤー月収実績119.8万円※2021年8月度支給実績/男性育休実績,正社員,年収1000万円も可能！【高級車ハイヤーのドライバー】※高卒以上 正社員
株式会社テイクス | 【新宿事業所】21年連続増収増益！上場企業グループ会社,正社員,【ITエンジニア】キャリアの実現に向け徹底サポート！高卒以上 正社員
株式会社テイクス | 【本社】個性・長所を伸ばす風土！上場企業グループ会社,正社員,【ITエンジニア】積極採用ついにスタート！Web面接可！学歴不問 正社員
住宅セレクション株式会社 | 《引越費用半額負担有！全国から神奈川湘南で働きたい方大歓迎》,正社員,【不動産営業】★完全週休2日制 ★年間休日115日 ★残業少 正社員
株式会社オープンハウス | 東証一部上場◆20代の管理職率76％◆年4回昇給&昇格のチャンス有,正社員,【総合職】人事/提案営業◆未経験歓迎◆20代の若手が活躍中 正社員
株式会社杉並モータース | ★残業代100%支給★有休取得率ほぼ100％ ★Web面接OK★日勤勤務,正社員,未経験歓迎♪平均月収45万円！【ロードサービス】※育成枠採用 正社員
株式会社京栄センター | 《名古屋/東京/宇都宮/大阪/京都/福岡での募集》平均年齢27.5歳,正社員,未経験OK！自分が成長できるステージへ【人材コーディネーター】 正社員
株式会社サンテック | 【圧倒的安定感】業界大手×インフラ事業／コロナ禍でも業績好調,業務委託,割り振られた案件をこなして月収50万円超【家電修理スタッフ】 業務委託
株式会社ミックウェア | ★ホンダやトヨタのパートナーとして最先端技術を駆使！,正社員,働き方が選べる【ITエンジニア】大量採用!中途入社が多数活躍中! 正社員
東日本住宅株式会社 | <50期連続で黒字経営の成長企業＆新店OPEN予定>★未経験者歓迎,正社員,ニーズ拡大！UR(公団)・公社住宅等の【営業】★1週間以内で内定 正社員
日本交通株式会社 | 三鷹営業所★飲食関連や個人事業主など前職様々なメンバーが活躍,正社員,働きやすさが自慢！【総合職(乗務員・キッズ・ケアサポート等)】 正社員
株式会社京進 | 東証二部上場,契約社員,"【学習塾教室長】独立を目指し、教室長として""経営""を学べる！ 契約社員"
株式会社ＺＵＮＤ | ★姫路から世界へ！宇宙一のラーメン屋を目指すための増員募集★,正社員,『ラー麺ずんどう屋』のスープや麺をつくる【製造スタッフ】 正社員
株式会社Right Armサービス | 大手不動産管理会社や住宅メーカー多数と取引する安定企業,正社員,賃貸物件の【退去立会・点検スタッフ】未経験でも月給30万円～ 正社員
株式会社AOA | 【大阪府緊急雇用対策に賛同】平均年齢27歳◎2部も同時募集★,正社員,踏み出せ！よじ登ろう！高収入への道★稼げる【広告プランナー】 正社員
株式会社El．Assist． | (エレ アシスト) 昨今注目の、電力不足や光熱費上昇の課題も解決,正社員,【営業スタッフ】◇未経験OK！◇残業少なめ ◇月給23万円～ 正社員
株式会社Be-flow | 全国売上《トップ5位》は全員が当社の社員！,正社員,社員全員が月収100万円以上！月給25万円～×土日祝休【営業】 正社員
レイス株式会社 | 国内TOPクラスの総合コンサルティング会社,正社員,【営業】企業経営者が抱える様々な課題に対して解決手段を企画！ 正社員
株式会社ヨドバシカメラ | ★残業代100％支給★賞与年2回★社員割引あり★福利厚生も充実,正社員,【物流総合職】★第二新卒/未経験歓迎★週休4日など選べる働き方 正社員
株式会社ガイア | 月給25万円以上！培ってきた豊富な経験を活かしませんか？,正社員,大規模プロジェクト多数【開発許認可・土木設計コンサルタント】 正社員
株式会社山由製作所 | 大手食品メーカーの “新しい価値を生み出す” 技術パートナー！,正社員,世界に1つの製造設備をつくる【技術スタッフ】 ★未経験歓迎 正社員
株式会社エス・エル・エス福岡 | 総合レジャーサービスグループ(九州全県、広島県に35店舗展開),正社員,未経験OK【経営戦略・企画】店舗開発や経営まで幅広く経験できる 正社員
株式会社ジョイナス | 【1980年設立！上場企業と直取引】★賞与年2回＋別途インセン有,契約社員,スポーツ用品等の【自社製品のパッケージデザイナー】※契約社員 契約社員
株式会社SALTO | ＃年休132日＃フルリモート案件多数＃完全週休2日制,正社員,☆前給考慮☆Web面接1回のスピード選考【開発エンジニア】 正社員
株式会社秋山住研 | 【設立42年】地域に根ざした工務店◎100億企業を目指し拡大中！,正社員,完全反響型【営業】高品質＆低価格な住宅で商談チャンス豊富！ 正社員
株式会社R'zソリューション | 活躍の舞台は、大手メーカー工場★住宅手当あり／長期休暇あり,正社員,未経験から始める【 ロボットエンジニア 】年間休日123日/土日休 正社員
フォーザウィン株式会社 | ＜有休消化率100%／残業月平均15時間以下／年間休日125日＞,正社員,【設計エンジニア（機械/CAD）】★完全週休2日制（土日） 正社員
ディーエムソリューションズ株式会社 | JASDAQ上場／設立以来17期連続黒字経営！年休124日・土日祝休み,正社員,リピート率95%超の【企画営業】★最大30万円の引っ越し手当！ 正社員
菅原興業株式会社 | 【設立45年】＊転勤なし！職場近くにキレイな格安寮＆仮眠室あり,正社員,鉄道軌道の【工事・保守スタッフ】＊未経験でも月給40万円以上！ 正社員
株式会社京進 | 東証二部上場,FCオーナー,【学習塾経営】転職して社員に？いや、次のキャリアは独立だ！ FCオーナー
セットライフエージェンシー株式会社 | #残業月平均5時間以下 #初年度年収例：年収800万円/中途1年目,正社員,お客様とご家族の人生に寄り添う【ライフプランコンサルタント】 正社員
ワンダーグループ株式会社 | 面接1回／選べる働き方！土日祝休みor指定休日の中でシフト制♪,正社員,未経験OK！【採用人事・事務】早期キャリアUPも可能／年休120日 正社員
株式会社Al・assembly | ◎日勤のみ◎週休2日制の土日休み◎資格取得支援制度あり♪,正社員,正社員で活躍できる【組立配送スタッフ】◇年休115日◇賞与あり 正社員
"株式会社リオグループ | #入社1年6ヶ月／年収1,200万円 #入社8ヶ月／年収640万円等の実績",正社員,【総合職(店長候補・フロアスタッフ・営業・企画・広報)】 正社員
UTエイム株式会社 | 【東証一部上場グループ】”九州でずっと働きたい”を叶える！,正社員,【サポートスタッフ(PC入力・検査等)】★九州限定募集／転勤なし 正社員
UTエイム株式会社 | 【東証一部上場グループ】コロナ禍でも安定して成長中★,正社員,【製造管理事務スタッフ】九州限定★未経験OKの簡単作業 正社員
ユナイテッド＆コレクティブ株式会社 | 東証マザーズ上場★売上好調につき社員大募集！,正社員,年収550万円！月9日休＊入社祝金10万円【店長職】 正社員
リンク・プロフィット・システム株式会社 | 社食・食事補助あり／残業少なめ／公平な評価制度あり,正社員,【ITエンジニア(システム開発/インフラ構築)】☆月給30万円以上 正社員
オリンパス株式会社 | 消化器内視鏡分野で世界シェア70％の医療機器メーカー,正社員,医療現場を支える【カスタマーサービス】※研修・福利厚生充実 正社員
オリンパス株式会社 | 消化器内視鏡分野で世界シェア70％の医療機器メーカー,正社員,圧倒的な商品力で医療業界のトッププレイヤーを目指す【営業職】 正社員
UTパベック株式会社 | 【東証一部上場グループ】入社祝い金10万円支給エリア多数！,正社員,未経験歓迎【工場内作業(データ入力/検品)】★月収35万円以上可 正社員
グッドモーゲージ株式会社 | 昨年対比売上184％の成長企業！年間休日122日！完全週休2日制,正社員,【提案営業】「圧倒的な商品力」が「武器」に！年収平均700万円 正社員
佐藤建業株式会社 | 今年で創立61周年！杉並区・都内の地域に密着した工事事業を展開,正社員,【施工管理】官公庁・自治体からの依頼多数◎賞与年2回以上！ 正社員
税理士法人松本 | 業績好調&安定基盤◆新宿オフィス拡張移転しOPEN！◆男性活躍中,正社員,【税務会計スタッフ】★未経験大歓迎　意欲的な仲間と成長を！ 正社員
FUJINO HOUSE ENGINEERING株式会社 | 応募者は100％面接／残業ほぼなし／完全週休2日制(土日)もOK,正社員,選べる働き方！「休日重視」or「給与重視」【作業スタッフ】 正社員
株式会社ニューアート・シーマ | 日本最大級のダイヤモンド専門店『銀座ダイヤモンドシライシ』,正社員,全国募集／ブライダルジュエリーの【接客販売】★完全週休2日制 正社員
株式会社エービーシーホーム | ◆21年連続業績アップ◆既婚率7割◆インセンティブ年間最大16回,正社員,来年4月新店OPEN!【リフォームの提案営業】★年収1000万以上可能 正社員
株式会社HIRAYAMA | 《業績好調》黒字経営を続ける安定企業★月収37.5万円の高収入！,正社員,【重機オペレーター（ユンボ）】★年収500万円可 ★賞与年2回 正社員
株式会社窪治組 | ★転勤なし★社員寮完備★残業ほぼなし★実働7.5h★各種手当充実,正社員,【総合職(技術者/ドライバー/資材の搬入等)】★社会人経験者募集 正社員
株式会社本田住設 | #東証一部上場ダイキアクシスと直接取引#独立支援もあり,正社員,屋内作業が基本！住宅設備の【施工スタッフ】★高収入が可能 正社員
UTエイム株式会社 | 【東証一部上場グループ】社宅費や赴任旅費交通費は全額補助！,正社員,未経験歓迎【ものづくりスタッフ】志望動機不問＜東日本限定＞ 正社員
コーンズ・モータース株式会社 | ＜フェラーリ、ロールス・ロイスなど高級輸入車の正規代理店＞,正社員,【営業】★完全週休2日制★賞与計5ヵ月分支給＆高インセン有 正社員
株式会社ネオート | 未経験歓迎/20代活躍中！/ 月平均7万円のインセンティブあり,正社員,オープニングスタッフ募集【買取のお仕事】未経験でも30万円以上 正社員
株式会社太田興産 | JASDAQ上場（株）ジェーソンの持株会社◆銀座4丁目の自社ビル！,正社員,【不動産管理】★自社が所有する賃貸物件の管理・マネジメント★ 正社員
株式会社東名 | 東証・名証一部上場企業／残業少なめ／名駅スグ／女性社員活躍中,正社員,【ITコンサル営業】既存顧客／年休120日／オフィスカジュアルOK 正社員
株式会社山崎機械店 | 【創業76年の専門商社】賞与年2～5ヶ月／年収1000万円を目指せる,正社員,【総合職(営業・事務)】★残業月平均20h以内※未経験歓迎 正社員
シンエイホーム株式会社 | メリハリ付けて働ける＆高収入！子育て中のスタッフも活躍中◎,正社員,残業月10h程度！未経験からでも月給25万円【リフォーム作業員】 正社員
株式会社バグース | ★経験者優遇★賞与2回＋決算賞与★年3回10日程度の長期休暇あり,正社員,修繕工事の【施工管理】★月給33万円以上+インセンティブ！ 正社員
株式会社ピースリー | 積極面接中!!年休120日以上でプライベートも充実◎20代活躍中★,正社員,【営業職】土日休み高収入可能！家賃補助50％負担！？未経験OK！ 正社員
株式会社丸八ダイレクト | ◆名証二部上場「丸八グループ」◆WEB面接可◆報奨金・賞与年2回,正社員,【販売スタッフ】未経験でも月30万～可★嬉しい社宅有★学歴不問 正社員
株式会社ホンダクリオ南海 | 未経験歓迎／初年度年収400万円～※大阪府緊急雇用対策に賛同,正社員,未経験でも安心！リピート顧客9割の【提案営業】月給26万円以上 正社員
株式会社ゲッコー | 年2回5～7日の長期休暇アリ・直行直帰OK・転勤ナシ,正社員,材料や資材を運ぶ【技術系総合職】20代の平均月収〈約43万円〉！ 正社員
シティロード株式会社 | 大手舗装会社のグループ：資格取得支援も充実！WEB面接対応◎,正社員,【土木施工管理】★寮や充実な手当有り！・年間休日129日★ 正社員
株式会社ダイケンビルサービス | 創業63年の安定企業：残業月20時間以内・福利厚生も充実！,正社員,安定感抜群！【設備管理】未経験大歓迎！面接1回のスピード採用 正社員
コーンズ・モータース株式会社 | ＜フェラーリ、ロールス・ロイスなど高級輸入車の正規代理店＞,正社員,フェラーリの【セールスマネージャー】★初年度で年収870万～可 正社員
